accepted_symbol,synonym_symbol,scientific_name,common_name,growth_habit
ASSP,NA,Asclepias speciosa Torr.,showy milkweed,forb
ASST,NA,Asclepias stenophylla A. Gray,slimleaf milkweed,forb
ASSU2,NA,Asclepias subverticillata (A. Gray) Vail,horsetail milkweed,forb
ASTU,NA,Asclepias tuberosa L.,butterfly milkweed,forb
ASTUI,NA,Asclepias tuberosa L. ssp. interior Woodson,butterfly milkweed,forb
ASUN4,NA,Asclepias uncialis Greene,wheel milkweed,forb
ASUNU2,NA,Asclepias uncialis Greene ssp. uncialis,wheel milkweed,forb
ASVI,NA,Asclepias viridiflora Raf.,green comet milkweed,forb
ASOF,NA,Asparagus officinalis L.,garden asparagus,forb
ASPR,NA,Asperugo procumbens L.,German-madwort,forb
ASAD,NA,Asplenium adiantum-nigrum L.,black spleenwort,forb
ASPL,NA,"Asplenium platyneuron (L.) Britton, Sterns & Poggenb.",ebony spleenwort,forb
ASPLP,NA,"Asplenium platyneuron (L.) Britton, Sterns & Poggenb. var. platyneuron",ebony spleenwort,forb
ASRE,NA,Asplenium resiliens Kunze,blackstem spleenwort,forb
ASSE,NA,Asplenium septentrionale (L.) Hoffm.,forked spleenwort,forb
ASTR2,NA,Asplenium trichomanes L.,maidenhair spleenwort,forb
ASTRT,NA,Asplenium trichomanes L. ssp. trichomanes,maidenhair spleenwort,forb
ASTR10,NA,Asplenium trichomanes-ramosum L.,brightgreen spleenwort,forb
ASAL3,NA,Aster alpinus L.,alpine aster,forb
ASALV,NA,Aster alpinus L. var. vierhapperi (Onno) Cronquist,Vierhapper's aster,forb
ASAG2,NA,Astragalus agrestis Douglas ex G. Don,purple milkvetch,forb
ASAL7,NA,Astragalus alpinus L.,alpine milkvetch,forb
ASALA4,NA,Astragalus alpinus L. var. alpinus,alpine milkvetch,forb
ASAM3,NA,Astragalus americanus (Hook.) M.E. Jones,American milkvetch,forb
ASAM5,NA,Astragalus amphioxys A. Gray,Crescent milkvetch,forb
ASAMV,NA,Astragalus amphioxys A. Gray var. vespertinus (Sheldon) M.E. Jones,Aladdin's slippers,forb
ASAN4,NA,Astragalus anisus M.E. Jones,Gunnison milkvetch,forb
ASAR3,NA,Astragalus aretioides (M.E. Jones) Barneby,cushion milkvetch,forb
ASAR4,NA,Astragalus argophyllus Nutt.,silverleaf milkvetch,forb
ASARM,NA,Astragalus argophyllus Nutt. var. martinii M.E. Jones,silverleaf milkvetch,forb
ASAS2,NA,Astragalus asclepiadoides M.E. Jones,milkweed milkvetch,forb
ASAU4,NA,Astragalus australis (L.) Lam.,Indian milkvetch,forb
ASBI2,NA,Astragalus bisulcatus (Hook.) A. Gray,twogrooved milkvetch,forb
ASBIB,NA,Astragalus bisulcatus (Hook.) A. Gray var. bisulcatus,twogrooved milkvetch,forb
ASBIH,NA,Astragalus bisulcatus (Hook.) A. Gray var. haydenianus (A. Gray) Barneby,Hayden's milkvetch,forb
ASBIM,NA,Astragalus bisulcatus (Hook.) A. Gray var. major (M.E. Jones) S.L. Welsh,twogrooved milkvetch,forb
ASBO,NA,Astragalus bodinii Sheldon,Bodin's milkvetch,forb
ASBR5,NA,Astragalus brandegeei Porter,Brandegee's milkvetch,forb
ASCA9,NA,Astragalus calycosus Torr. ex S. Watson,Torrey's milkvetch,forb
ASCAC5,NA,Astragalus calycosus Torr. ex S. Watson var. calycosus,Torrey's milkvetch,forb
ASCAS,NA,Astragalus calycosus Torr. ex S. Watson var. scaposus (A. Gray) M.E. Jones,Torrey's milkvetch,forb
ASCA11,NA,Astragalus canadensis L.,Canadian milkvetch,forb
ASCAB,NA,Astragalus canadensis L. var. brevidens (Gandog.) Barneby,shorttooth Canadian milkvetch,forb
ASCAC6,NA,Astragalus canadensis L. var. canadensis,Canadian milkvetch,forb
ASCE,NA,Astragalus ceramicus Sheldon,painted milkvetch,forb
ASCEC,NA,Astragalus ceramicus Sheldon var. ceramicus,painted milkvetch,forb
ASCEF,NA,Astragalus ceramicus Sheldon var. filifolius (A. Gray) F.J. Herm.,painted milkvetch,forb
ASCE2,NA,Astragalus cerussatus Sheldon,powdery milkvetch,forb
ASCH4,NA,Astragalus chamaeleuce A. Gray,cicada milkvetch,forb
ASCHC2,NA,Astragalus chamaeleuce A. Gray var. chamaeleuce,cicada milkvetch,forb
ASCI2,NA,Astragalus cibarius Sheldon,browse milkvetch,forb
ASCI4,NA,Astragalus cicer L.,chickpea milkvetch,forb
ASCO8,NA,Astragalus coltonii M.E. Jones,Colton's milkvetch,forb
ASCOM2,NA,Astragalus coltonii M.E. Jones var. moabensis,Moab milkvetch,forb
ASCO12,NA,Astragalus convallarius Greene,lesser rushy milkvetch,forb
ASCOC9,NA,Astragalus convallarius Greene var. convallarius,lesser rushy milkvetch,forb
ASCOS,NA,Astragalus convallarius Greene var. scopulorum Barneby,lesser rushy milkvetch,forb
ASCR2,NA,Astragalus crassicarpus Nutt.,groundplum milkvetch,forb
ASCRC3,NA,Astragalus crassicarpus Nutt. var. crassicarpus,groundplum milkvetch,forb
ASCRP,NA,Astragalus crassicarpus Nutt. var. paysonii (E.H. Kelso) Barneby,groundplum milkvetch,forb
ASCR4,NA,Astragalus cronquistii Barneby,Cronquist's milkvetch,forb
ASDE11,NA,Astragalus debequaeus S.L. Welsh,Debeque milkvetch,forb
ASDE3,NA,Astragalus desperatus M.E. Jones,rimrock milkvetch,forb
ASDED,NA,Astragalus desperatus M.E. Jones var. desperatus,rimrock milkvetch,forb
ASDEN,NA,Astragalus desperatus M.E. Jones var. neeseae Barneby,Elizabeth's milkvetch,forb
ASDE4,NA,Astragalus deterior (Barneby) Barneby,Cliff Palace milkvetch,forb
ASDE5,NA,Astragalus detritalis M.E. Jones,debris milkvetch,forb
ASDR3,NA,Astragalus drummondii Douglas ex Hook.,Drummond's milkvetch,forb
ASDU2,NA,Astragalus duchesnensis M.E. Jones,Duchesne milkvetch,forb
ASEA2,NA,Astragalus eastwoodiae M.E. Jones,Eastwood's milkvetch,forb
ASEU2,NA,Astragalus eucosmus B.L. Rob.,elegant milkvetch,forb
ASFA3,NA,Astragalus falcatus Lam.,Russian milkvetch,forb
ASFL,NA,Astragalus flavus Nutt.,yellow milkvetch,forb
ASFL2,NA,Astragalus flexuosus Douglas ex G. Don,flexile milkvetch,forb
ASFLD,NA,Astragalus flexuosus Douglas ex G. Don var. diehlii (M.E. Jones) Barneby,Diehl's milkvetch,forb
ASFLF,NA,Astragalus flexuosus Douglas ex G. Don var. flexuosus,flexile milkvetch,forb
ASFLG,NA,Astragalus flexuosus Douglas ex G. Don var. greenei (A. Gray) Barneby,Greene's milkvetch,forb
ASFU2,NA,Astragalus fucatus Barneby,Hopi milkvetch,forb
ASGE,NA,Astragalus geyeri A. Gray,Geyer's milkvetch,forb
ASGEG,NA,Astragalus geyeri A. Gray var. geyeri,Geyer's milkvetch,forb
ASGI5,NA,Astragalus gilviflorus Sheldon,plains milkvetch,forb
ASGIG,NA,Astragalus gilviflorus Sheldon var. gilviflorus,plains milkvetch,forb
ASGR3,NA,Astragalus gracilis Nutt.,slender milkvetch,forb
ASHA2,NA,Astragalus hallii A. Gray,Hall's milkvetch,forb
ASHAH,NA,Astragalus hallii A. Gray var. hallii,Hall's milkvetch,forb
ASHA3,NA,Astragalus hamiltonii Ced. Porter,Hamilton's milkvetch,forb
ASHU,NA,Astragalus humillimus A. Gray,Mancos milkvetch,forb
ASHY2,NA,Astragalus hyalinus M.E. Jones,summer milkvetch,forb
ASIO2,NA,Astragalus iodopetalus (Rydb.) Barneby,violet milkvetch,forb
ASJE2,NA,Astragalus jejunus S. Watson,starveling milkvetch,forb
ASJEJ,NA,Astragalus jejunus S. Watson var. jejunus,starveling milkvetch,forb
ASKE,NA,Astragalus kentrophyta A. Gray,spiny milkvetch,forb
ASKEE,NA,Astragalus kentrophyta A. Gray var. elatus S. Watson,tall spiny milkvetch,forb
ASKEK,NA,Astragalus kentrophyta A. Gray var. kentrophyta,spiny milkvetch,forb
ASKET,NA,Astragalus kentrophyta A. Gray var. tegetarius (S. Watson) Dorn,mat milkvetch,forb
ASLA27,NA,Astragalus laxmannii Jacq.,Laxmann's milkvetch,forb
ASLAR,NA,Astragalus laxmannii Jacq. var. robustior (Hook.) Barneby & S.L. Welsh,prairie milkvetch,forb
ASLE8,NA,Astragalus lentiginosus Douglas ex Hook.,freckled milkvetch,forb
ASLEC,NA,Astragalus lentiginosus Douglas ex Hook. var. chartaceus M.E. Jones,broadleaf milkvetch,forb
ASLED,NA,Astragalus lentiginosus Douglas ex Hook. var. diphysus (A. Gray) M.E. Jones,freckled milkvetch,forb
ASLEP,NA,Astragalus lentiginosus Douglas ex Hook. var. palans (M.E. Jones) M.E. Jones,freckled milkvetch,forb
ASLE9,NA,Astragalus leptaleus A. Gray,park milkvetch,forb
ASLI5,NA,Astragalus linifolius Osterh.,Grand Junction milkvetch,forb
ASLO3,NA,Astragalus lonchocarpus Torr.,rushy milkvetch,forb
ASLO4,NA,Astragalus lotiflorus Hook.,lotus milkvetch,forb
ASLU2,NA,Astragalus lutosus M.E. Jones,Dragon milkvetch,forb
ASME2,NA,Astragalus megacarpus (Nutt.) A. Gray,great bladdery milkvetch,forb
ASMI3,NA,Astragalus microcymbus Barneby,skiff milkvetch,forb
ASMI9,NA,Astragalus miser Douglas ex Hook.,timber milkvetch,forb
ASMIO,NA,Astragalus miser Douglas ex Hook. var. oblongifolius (Rydb.) Cronquist,timber milkvetch,forb
ASMI10,NA,Astragalus missouriensis Nutt.,Missouri milkvetch,forb
ASMIA,NA,Astragalus missouriensis Nutt. var. amphibolus Barneby,Missouri milkvetch,forb
ASMIH2,NA,Astragalus missouriensis Nutt. var. humistratus Isely,Missouri milkvetch,forb
ASMIM5,NA,Astragalus missouriensis Nutt. var. missouriensis,Missouri milkvetch,forb
ASMO7,NA,Astragalus mollissimus Torr.,woolly locoweed,forb
ASMOM5,NA,Astragalus mollissimus Torr. var. mollissimus,woolly locoweed,forb
ASMOT,NA,Astragalus mollissimus Torr. var. thompsoniae (S. Watson) Barneby,woolly locoweed,forb
ASMO8,NA,Astragalus molybdenus Barneby,Leadville milkvetch,forb
ASMO10,NA,Astragalus monumentalis Barneby,Monument Valley milkvetch,forb
ASMOC2,NA,Astragalus monumentalis Barneby var. cottamii (S.L. Welsh) Isely,Cottam's milkvetch,forb
ASMU3,NA,Astragalus musiniensis M.E. Jones,Ferron's milkvetch,forb
ASNA,NA,Astragalus naturitensis Payson,Naturita milkvetch,forb
ASNE3,NA,Astragalus nelsonianus Barneby,Nelson's milkvetch,forb
ASNE6,NA,Astragalus newberryi A. Gray,Newberry's milkvetch,forb
ASNEN,NA,Astragalus newberryi A. Gray var. newberryi,Newberry's milkvetch,forb
ASNU4,NA,Astragalus nuttallianus DC.,smallflowered milkvetch,forb
ASNUA,NA,Astragalus nuttallianus DC. var. austrinus (Small) Barneby,smallflowered milkvetch,forb
ASNUM2,NA,Astragalus nuttallianus DC. var. micranthiformis Barneby,turkeypeas,forb
ASOO,NA,Astragalus oocalycis M.E. Jones,Arboles milkvetch,forb
ASOO3,NA,Astragalus oophorus S. Watson,egg milkvetch,forb
ASOOC,NA,Astragalus oophorus S. Watson var. caulescens (M.E. Jones) M.E. Jones,egg milkvetch,forb
ASOS,NA,Astragalus osterhoutii M.E. Jones,Kremmling milkvetch,forb
ASPA13,NA,Astragalus parryi A. Gray,Parry's milkvetch,forb
ASPA14,NA,Astragalus pattersonii A. Gray ex Brandegee,Patterson's milkvetch,forb
ASPE5,NA,Astragalus pectinatus (Douglas ex Hook.) Douglas ex G. Don,narrowleaf milkvetch,forb
ASPI6,NA,Astragalus piscator Barneby & S.L. Welsh,Fisher milkvetch,forb
ASPL2,NA,Astragalus plattensis Nutt.,Platte River milkvetch,forb
ASPR5,NA,Astragalus praelongus Sheldon,stinking milkvetch,forb
ASPRE,NA,Astragalus praelongus Sheldon var. ellisiae (Rydb.) Barneby,Ellis' stinking milkvetch,forb
ASPRL,NA,Astragalus praelongus Sheldon var. lonchopus Barneby,stinking milkvetch,forb
ASPRP2,NA,Astragalus praelongus Sheldon var. praelongus,stinking milkvetch,forb
ASPR8,NA,Astragalus proximus (Rydb.) Wooton & Standl.,Aztec milkvetch,forb
ASPU6,NA,Astragalus pubentissimus Torr. & A. Gray,Green River milkvetch,forb
ASPU8,NA,Astragalus puniceus Osterh.,Trinidad milkvetch,forb
ASPUP6,NA,Astragalus puniceus Osterh. var. puniceus,Trinidad milkvetch,forb
ASPU9,NA,Astragalus purshii Douglas ex Hook.,woollypod milkvetch,forb
ASPUP7,NA,Astragalus purshii Douglas ex Hook. var. purshii,woollypod milkvetch,forb
ASRA2,NA,Astragalus racemosus Pursh,cream milkvetch,forb
ASRAL,NA,Astragalus racemosus Pursh var. longisetus M.E. Jones,cream milkvetch,forb
ASRAR2,NA,Astragalus racemosus Pursh var. racemosus,cream milkvetch,forb
ASRA3,NA,Astragalus rafaelensis M.E. Jones,San Rafael milkvetch,forb
ASRI2,NA,Astragalus ripleyi Barneby,Ripley's milkvetch,forb
ASRO,NA,Astragalus robbinsii (Oakes) A. Gray,Robbins' milkvetch,forb
ASROM,NA,Astragalus robbinsii (Oakes) A. Gray var. minor (Hook.) Barneby,Robbins' milkvetch,forb
ASSC5,NA,Astragalus schmolliae Ced. Porter,Schmoll's milkvetch,forb
ASSC7,NA,Astragalus scopulorum Porter,Rocky Mountain milkvetch,forb
ASSE5,NA,Astragalus sericoleucus A. Gray,silky milkvetch,forb
ASSE7,NA,Astragalus sesquiflorus S. Watson,sandstone milkvetch,forb
ASSH3,NA,Astragalus shortianus Nutt.,Short's milkvetch,forb
ASSP5,NA,Astragalus sparsiflorus A. Gray,Front Range milkvetch,forb
ASSPM,NA,Astragalus sparsiflorus A. Gray var. majusculus,Front Range milkvetch,forb
ASSPS3,NA,Astragalus sparsiflorus A. Gray var. sparsiflorus,Front Range milkvetch,forb
ASSP6,NA,Astragalus spatulatus Sheldon,tufted milkvetch,forb
ASTE5,NA,Astragalus tenellus Pursh,looseflower milkvetch,forb
ASTO9,NA,Astragalus tortipes J.L. Anderson & J.M. Porter,sleeping Ute milkvetch,forb
ASTR7,NA,Astragalus tridactylicus A. Gray,foothill milkvetch,forb
ASWE2,NA,Astragalus wetherillii M.E. Jones,Wetherill's milkvetch,forb
ASWI2,NA,Astragalus wingatanus S. Watson,Fort Wingate milkvetch,forb
ASWO2,NA,Astragalus wootonii Sheldon,halfmoon milkvetch,forb
ASCO42,NA,Astrolepis cochisensis (Goodding) Benham & Windham,Cochise scaly cloakfern,forb
ASCOC3,NA,Astrolepis cochisensis (Goodding) Benham & Windham ssp. cochisensis,Cochise scaly cloakfern,forb
ASIN19,NA,Astrolepis integerrima (Hook.) Benham & Windham,hybrid cloakfern,forb
ATAM,NA,Athyrium americanum (Butters) Maxon,alpine ladyfern,forb
ATFI,NA,Athyrium filix-femina (L.) Roth,common ladyfern,forb
ATFIA,NA,Athyrium filix-femina (L.) Roth ssp. angustum (Willd.) R.T. Clausen,subarctic ladyfern,forb
ATFIC,NA,Athyrium filix-femina (L.) Roth ssp. cyclosorum (Rupr.) C. Chr.,subarctic ladyfern,forb
ATAR2,NA,Atriplex argentea Nutt.,silverscale saltbush,forb
ATARA,NA,Atriplex argentea Nutt. ssp. argentea,silverscale saltbush,forb
ATARA2,NA,Atriplex argentea Nutt. ssp. argentea var. argentea,silverscale saltbush,forb
ATARC2,NA,Atriplex argentea Nutt. ssp. argentea var. caput-medusae (Eastw.) Fosberg,stalked saltbush,forb
ATARE,NA,Atriplex argentea Nutt. ssp. expansa (S. Watson) H.M. Hall & Clem.,silverscale saltbush,forb
ATGR,NA,Atriplex graciliflora M.E. Jones,slenderflower saltbush,forb
ATHO,NA,Atriplex hortensis L.,garden orache,forb
ATMI2,NA,Atriplex micrantha Ledeb.,twoscale saltbush,forb
ATPA8,NA,Atriplex pachypoda Stutz & G.L. Chu,thickfoot saltbush,forb
ATPA4,NA,Atriplex patula L.,spear saltbush,forb
ATPO2,NA,Atriplex powellii S. Watson,Powell's saltweed,forb
ATPR,NA,Atriplex prostrata Bouchér ex DC.,triangle orache,forb
ATRO,NA,Atriplex rosea L.,tumbling saltweed,forb
ATSA,NA,Atriplex saccaria S. Watson,sack saltbush,forb
ATSU2,NA,Atriplex subspicata (Nutt.) Rydb.,saline saltbush,forb
ATTE,NA,Atriplex tenuissima A. Nelson,slender saltbush,forb
ATTR,NA,Atriplex truncata (Torr. ex S. Watson) A. Gray,wedgescale saltbush,forb
ATWO,NA,Atriplex wolfii S. Watson,Wolf's saltweed,forb
AUSA,NA,Aurinia saxatilis (L.) Desv.,basket of gold,forb
AXAM,NA,Axyris amaranthoides L.,Russian pigweed,forb
AZMI,NA,Azolla microphylla Kaulf.,Mexican Mosquito Fern,forb
BARO,NA,Bacopa rotundifolia (Michx.) Wettst.,disk waterhyssop,forb
BADI,NA,Bahia dissecta (A. Gray) Britton,ragleaf bahia,forb
BAHO,NA,Balsamorhiza hookeri (Hook.) Nutt.,Hooker's balsamroot,forb
BAHOH2,NA,Balsamorhiza hookeri (Hook.) Nutt. var. hispidula (Sharp) Cronquist,hairy balsamroot,forb
BASA3,NA,Balsamorhiza sagittata (Pursh) Nutt.,arrowleaf balsamroot,forb
BAOR,NA,Barbarea orthoceras Ledeb.,American yellowrocket,forb
BAVU,NA,Barbarea vulgaris W.T. Aiton,garden yellowrocket,forb
BAHY,NA,Bassia hyssopifolia (Pall.) Kuntz,fivehorn smotherweed,forb
BASC5,NA,Bassia scoparia (L.) A.J. Scott,burningbush,forb
BETE,NA,Bergia texana (Hook.) Seub. ex Walp.,Texas bergia,forb
BELY,NA,Berlandiera lyrata Benth.,lyreleaf greeneyes,forb
BEIN2,NA,Berteroa incana (L.) DC.,hoary alyssum,forb
BEER,NA,Berula erecta (Huds.) Coville,cutleaf waterparsnip,forb
BEAL,NA,Besseya alpina (A. Gray) Rydb.,alpine besseya,forb
BEPL,NA,Besseya plantaginea (James) Rydb.,White River coraldrops,forb
BERI,NA,Besseya ritteriana (Eastw.) Rydb.,Ritter's coraldrops,forb
BEWY,NA,Besseya wyomingensis (A. Nelson) Rydb.,Wyoming besseya,forb
BIAR,NA,Bidens aristosa (Michx.) Britton,bearded beggarticks,forb
BIBI,NA,Bidens bigelovii A. Gray,Bigelow's beggarticks,forb
BIBIB2,NA,Bidens bigelovii A. Gray var. bigelovii,Bigelow's beggarticks,forb
BIBI7,NA,Bidens bipinnata L.,Spanish needles,forb
BICE,NA,Bidens cernua L.,nodding beggartick,forb
BIFR,NA,Bidens frondosa L.,devil's beggartick,forb
BITE,NA,Bidens tenuisecta A. Gray,slimlobe beggarticks,forb
BITR,NA,Bidens tripartita L.,threelobe beggarticks,forb
BIVU,NA,Bidens vulgata Greene,big devils beggartick,forb
BOER,NA,Boerhavia erecta L.,erect spiderling,forb
BOCA5,NA,Botrychium campestre W.H. Wagner & Farrar,Iowa moonwort,forb
BOEC,NA,Botrychium echo W.H. Wagner,reflected grapefern,forb
BOHE5,NA,Botrychium hesperium (Maxon & R.T. Clausen) W.H. Wagner & Lellinger,western moonwort,forb
BOLA,NA,Botrychium lanceolatum (S.G. Gmel.) Angstr.,lanceleaf grapefern,forb
BOLAL,NA,Botrychium lanceolatum (S.G. Gmel.) Angstr. var. lanceolatum,lanceleaf grapefern,forb
BOLI7,NA,Botrychium lineare W.H. Wagner,narrowleaf grapefern,forb
BOLU,NA,Botrychium lunaria (L.) Sw.,common moonwort,forb
BOMI,NA,Botrychium minganense Victorin,Mingan moonwort,forb
BOMU,NA,Botrychium multifidum (S.G. Gmel.) Trevis.,leathery grapefern,forb
BOPA12,NA,Botrychium pallidum W.H. Wagner,pale botrychium,forb
BOPI,NA,Botrychium pinnatum H. St. John,northern moonwort,forb
BOSI,NA,Botrychium simplex E. Hitchc.,little grapefern,forb
BOVI,NA,Botrychium virginianum (L.) Sw.,rattlesnake fern,forb
BREL2,NA,Brassica elongata Ehrh.,elongated mustard,forb
BRJU,NA,Brassica juncea (L.) Czern.,brown mustard,forb
BRNA,NA,Brassica napus L.,rape,forb
BRNI,NA,Brassica nigra (L.) W.D.J. Koch,black mustard,forb
BRRA,NA,Brassica rapa L.,field mustard,forb
BRRAR,NA,Brassica rapa L. var. rapa,field mustard,forb
BRGL,NA,Braya glabella Richardson,smooth northern-rockcress,forb
BRGLG,NA,Braya glabella Richardson ssp. glabella,smooth northern-rockcress,forb
BRBR2,NA,Brickellia brachyphylla (A. Gray) A. Gray,plumed brickellbush,forb
BREU,NA,Brickellia eupatorioides (L.) Shinners,false boneset,forb
BREUC2,NA,Brickellia eupatorioides (L.) Shinners var. chlorolepis (Wooton & Standl.) B.L. Turner,false boneset,forb
BREUC,NA,Brickellia eupatorioides (L.) Shinners var. corymbulosa (Torr. & A. Gray) Shinners,false boneset,forb
BRGR,NA,Brickellia grandiflora (Hook.) Nutt.,tasselflower brickellbush,forb
BROB,NA,Brickellia oblongifolia Nutt.,Mojave brickellbush,forb
BROBL,NA,Brickellia oblongifolia Nutt. var. linifolia (D.C. Eaton) B.L. Rob.,narrowleaf brickellbush,forb
BUAR3,NA,Buglossoides arvensis (L.) I.M. Johnst.,corn gromwell,forb
BUAM2,NA,Bupleurum americanum J.M. Coult. & Rose,American thorow wax,forb
CAPA47,NA,Calibrachoa parviflora (Juss.) D'Arcy,seaside petunia,forb
CAAL,NA,Callirhoe alcaeoides (Michx.) A. Gray,light poppymallow,forb
CAIN2,NA,Callirhoe involucrata (Torr. & A. Gray) A. Gray,purple poppymallow,forb
CAINI4,NA,Callirhoe involucrata (Torr. & A. Gray) A. Gray var. involucrata,purple poppymallow,forb
CAINL,NA,Callirhoe involucrata (Torr. & A. Gray) A. Gray var. lineariloba,purple poppymallow,forb
CAHE2,NA,Callitriche hermaphroditica L.,northern water-starwort,forb
CAHE3,NA,Callitriche heterophylla Pursh,twoheaded water-starwort,forb
CAHEH,NA,Callitriche heterophylla Pursh ssp. heterophylla,twoheaded water-starwort,forb
CAPA52,NA,Callitriche palustris L.,vernal water-starwort,forb
CAST11,NA,Callitriche stenoptera Lansdown,narrow-wing water-starwort,forb
CAAU8,NA,Calochortus aureus S. Watson,golden mariposa lily,forb
CAFL,NA,Calochortus flexuosus S. Watson,winding mariposa lily,forb
CAGU,NA,Calochortus gunnisonii S. Watson,Gunnison's mariposa lily,forb
CAGUG,NA,Calochortus gunnisonii S. Watson var. gunnisonii,Gunnison's mariposa lily,forb
CANU3,NA,Calochortus nuttallii Torr. & A. Gray,sego lily,forb
CALE4,NA,Caltha leptosepala DC.,white marsh marigold,forb
CALEH2,NA,Caltha leptosepala DC. ssp. howellii (Huth) P.G. Sm.,Howell's marsh marigold,forb
CALEL7,NA,Caltha leptosepala DC. ssp. leptosepala,white marsh marigold,forb
CALEL8,NA,Caltha leptosepala DC. ssp. leptosepala var. leptosepala,white marsh marigold,forb
CABE6,NA,Calylophus berlandieri Spach,Berlandier's sundrops,forb
CABEB2,NA,Calylophus berlandieri Spach ssp. berlandieri,Berlandier's sundrops,forb
CAHA14,NA,Calylophus hartwegii (Benth.) P.H. Raven,Hartweg's sundrops,forb
CAHAF,NA,Calylophus hartwegii (Benth.) P.H. Raven ssp. fendleri (A. Gray) Towner & P.H. Raven,Hartweg's sundrops,forb
CAHAP,NA,Calylophus hartwegii (Benth.) P.H. Raven ssp. pubescens (A. Gray) Towner & P.H. Raven,Hartweg's sundrops,forb
CALA38,NA,Calylophus lavandulifolius (Torr. & A. Gray) P.H. Raven,lavenderleaf sundrops,forb
CASE12,NA,Calylophus serrulatus (Nutt.) P.H. Raven,yellow sundrops,forb
CABU,NA,Calypso bulbosa (L.) Oakes,fairy slipper,forb
CABUA,NA,Calypso bulbosa (L.) Oakes var. americana (R. Br.) Luer,fairy slipper,forb
CAMA23,NA,Calystegia macounii (Greene) Brummitt,Macoun's false bindweed,forb
CASE13,NA,Calystegia sepium (L.) R. Br.,hedge false bindweed,forb
CASEA2,NA,Calystegia sepium (L.) R. Br. ssp. americana (Sims) Brummitt,hedge false bindweed,forb
CASEA3,NA,Calystegia sepium (L.) R. Br. ssp. angulata Brummitt,hedge false bindweed,forb
CASI10,NA,Calystegia silvatica (Kit.) Griseb.,shortstalk false bindweed,forb
CASIF,NA,Calystegia silvatica (Kit.) Griseb. ssp. fraterniflora (Mack. & Bush) Brummitt,shortstalk false bindweed,forb
CAMI2,NA,Camelina microcarpa Andrz. ex DC.,littlepod false flax,forb
CARU15,NA,Camelina rumelica Velen.,graceful false flax,forb
CAAN14,NA,Camissonia andina (Nutt.) P.H. Raven,Blackfoot River evening primrose,forb
CABR22,NA,Camissonia breviflora (Torr. & A. Gray) P.H. Raven,fewflower evening primrose,forb
CAEA,NA,Camissonia eastwoodiae (Munz) P.H. Raven,Grand Junction camissonia,forb
CAMI23,NA,Camissonia minor (A. Nelson) P.H. Raven,small evening primrose,forb
CAPA39,NA,Camissonia parvula (Nutt. ex Torr. & A. Gray) P.H. Raven,Lewis River suncup,forb
CASC18,NA,Camissonia scapoidea (Nutt. ex Torr. & A. Gray) P.H. Raven,Paiute suncup,forb
CASCS3,NA,Camissonia scapoidea (Nutt. ex Torr. & A. Gray) P.H. Raven ssp. scapoidea,Paiute suncup,forb
CASU18,NA,Camissonia subacaulis (Pursh) P.H. Raven,diffuseflower evening primrose,forb
CAWA3,NA,Camissonia walkeri (A. Nelson) P.H. Raven,Walker's suncup,forb
CAWAW2,NA,Camissonia walkeri (A. Nelson) P.H. Raven ssp. walkeri,Walker's suncup,forb
CAAP2,NA,Campanula aparinoides Pursh,marsh bellflower,forb
CAGL2,NA,Campanula glomerata L.,Dane's blood,forb
CAPA10,NA,Campanula parryi A. Gray,Parry's bellflower,forb
CAPAP2,NA,Campanula parryi A. Gray var. parryi,Parry's bellflower,forb
CARA,NA,Campanula rapunculoides L.,rampion bellflower,forb
CARO2,NA,Campanula rotundifolia L.,bluebell bellflower,forb
CAUN2,NA,Campanula uniflora L.,arctic bellflower,forb
CASA3,NA,Cannabis sativa L.,marijuana,forb
CASAS3,NA,Cannabis sativa L. ssp. sativa,marijuana,forb
CASAS9,NA,Cannabis sativa L. ssp. sativa var. sativa,marijuana,forb
